Affiliation,First Name,Last Name
Access Living,Laura,Saltzman
Alta Planning + Design,Kim,Voros
American Foundation for the Blind,Sarah,Malaier
AMPO,Ellen,Zavisca
Apple,Matt,Gridley
Arizona State University,Xuesong (Simon),Zhou
Arkansas GIS Office,Jonathan,Duran
Baltimore Metropolitan Council,Charlene,Mingus
Bay Area Metro,Liza,Zorn
BikeWalkNC,Steven,Hardy-Braz
California Integrated Travel Project,Katrina,Kaiser
Cambridge Systematics,Sam,Zneimer
Health and Human Services,Jeff,Whitfield
Chad Blevins,Chad,Blevins
Citian Solutions,Ryan,Westrom
City of Alexandria,Christopher,Ziemann
City of Beverly Hills,Jessie,Holzer Carpenter
"City of Lawrence, Kansas",Jessica,Mortinger
City of Philadelphia,Adam,Smith
Cyclomedia,James,Graham
DeepWalk Research,Brandon,Yates
Delaware DOT,Paul,Moser
Easterseals,Judy,Shanley
Ecopia,Abigail,Coholic
Entur (NOR),Johan,Wiklund
EPA,John,Thomas
EvariLABS,Ari,Isaak
Forest Service / USDA,Lisa,Delmonico
GeoMate,Robert,MacGregor
Georgia Department of Transportation,Connor,Booth
Google Maps,Jenny,Gashasy
HERE Technologies,Weimin,Huang
ICF International,Polly,Okunieff
Institute for Transportation and Development Policy,Taylor,Reich
Interline Technologies,Drew,Dara-Abrams
Iowa DOT,Milly,Ortiz
ITS America,Sarah,Abel
Kimley-Horn,Lindsay,Saner
League of American Bicyclists,Ken,McLeod
Livable Lynchburg,Nathan,Wyand
Meta,Edoardo,Neerhut
Metropolitan Council of the Twin Cities,Heidi,Schallberg
Miami-Dade TPO,Jesus,Fuentes
Microsoft,Larry,Freil
Montgomery Planning,Jon,Ryder
Morgan State University,Celeste,Chavis
National League of Cities,Maryam,Ahmed
National Renewable Energy Laboratory,Davis,Cover
NIMIR Corporation,Saravanan,Chockalingam
Northeastern University ,Peter,Furth
NPS,Kerry,Shakarijian
Numobility ,Ximon,Zhu
NYSDOT,Ellwood,Hanrahan
OpalAi Inc.,Ryan,Alimo
Optibus,Weston,Shippy
Oregon DOT,Josh,Roll
Overture Maps,Dana,Bauer
Oxford University,Xiao,Li
PennDOT,Trish,Meek
Pennsylvania Downtown Center,Sam,Pearson
PeopleForBikes,Grace,Stonecipher
Pittsburgh Regional Transit,Seth,Davis
Public Works Office,Jeff,Maki+A55A97A33:C97A3A1:C97
San Jose DOT,Jesse,Mintz-Roth
Southwestern Pennsylvania Commission,Chris,Jaros
SpanPath LLC,Gevin,McDaniel
Strava,Carlos,Gamez
"Suffolk County, NY",James,McComb
TDOT,Will,Rogers
Texas A&M Transportation Institute,Bahar,Dadashova
Tufts University,Richard Mark,Fenton
U.S. Department of Labor,Scott,Robertson
"University of California, Davis",Kari Edison,Watkins
University of Puerto Rico at Mayaguez,Alberto,Figueroa
University of Arkansas ,Mubarak,Thanni
University of Florida,Marilyn,Wende
University of Massachusetts Amherst,Chengbo,Ai
University of New Orleans,Tara,Tolford
University of North Carolina - Highway Safety Research Center,Krista,Nordback
University of South Florida,Sara,Hendricks
University of Southern Mississippi,Yuanyuan,Zhang
University of Washington - Computer Science,Anat,Caspi
"university of Wisconsin, Milwaukee",Yang,Li
Urban Design 4 Health,Lawrence,Frank
URBANLABS LLC,Elizabeth,Sall
USDOT,Jonah,Chiarenza
Utah DOT,Neda,Kiani
Utah State University,Valerie,Novack
Valtech Mobility - Detroit,Angela,Fessler
Vexcel Imaging,Mark,Christian
Virginia Department of Transportation,Peter,Ohlms
VTI - Norwegian Road and Transport Research Institute (SWE),Daniel,Rudmark
Wasatch Front Regional Council,Bert,Granberg
Washington Area Bicyclist Association,Joseph,Hamd
Wisconsin Bike Fed,Marybeth,McGinnis
WisDOT,Amber,Yan
